headline,title,text
"
Poke through to the front of the fabric.,
Stitch a vertical line.,
Return to the starting point.,
Move the stitch diagonally across.,
Bring the needle back through to the front.,
Repeat the stitch down the length of the row.,
Overlap the end point.,
Cross over the last diagonal stitch.,
Double behind the vertical post.,
Work your way back down the length of the row.,
Knot the stitch in the back.",How to Do a Zigzag Stitch by Hand1," Insert the needle through the fabric at the starting point of your stitch line, A. Poke through from the back of the fabric to the front.


Pull the needle and thread completely through so that the end knot lies flush against the back of the fabric.
Your A point should be at the bottom right edge of your desired stitch line.;
, Cross over the front of the fabric and insert the needle at a position directly above your A point. This new insertion point will be point B.


Pull the needle and thread completely through to the back of the fabric, creating a flat vertical stitch between A and B. This stitch must be straight, not slanted.
The distance between A and B will be the width of your stitch. Unless otherwise specified, a width of 1/4 inch (6.35 mm) should suffice.

, Insert the needle through the fabric at A again. Pull the needle and thread through from back to front.


Tighten the thread until it creates a flat vertical stitch at the back of the fabric, mirroring the one on the front.

, Cross the thread over the front of the fabric and insert the needle at a point lying even with B and to the left. This will be your C point.


The horizontal distance between B and C should roughly match the stitch width. In this example, it should be 1/4 inch (6.35 mm).
Continue pulling the needle and thread through to the back of the fabric until a flat diagonal stitch connecting A and C appears on the front of the fabric.

, Insert the needle through the fabric from back to front, bringing it through at a point vertically beneath C and to the horizontal left of A. This newest point is point D.


Pull the thread through completely, creating a flat vertical stitch along the back of the fabric from C to D.
With this step, you have completed a single zigzag stitch.

, Repeat the steps used to create the first stitch down the entire length of your stitch row. End the row with a vertical stitch.


Reset your stitch labels at the end of each complete zigzag stitch. In other words, the C point of your first zigzag becomes the B point of your second, and the D point of your first zigzag becomes the A point of your second.
For each stitch:

Stitch a vertical line between A and B on the front of the fabric.
Stitch a vertical line between B and A along the back, inserting the needle through to the front at A again.
Stitch diagonally across the front of the fabric from A to C.
Stitch a vertical line along the back of the fabric from C to D, inserting the needle through to the front at D.


End the row with a vertical stitch across the front of the fabric between the D and C of your final zigzag.
Make sure that you maintain the same stitch width and length for each zigzag.

, Rename your stitch labels so that E is the bottom of your last vertical stitch and F is the top point of that same stitch. Cross over this final vertical stitch so that the needle comes out to the front of the fabric at E.


If done correctly, the stitch prior to this should have gone through to the back of the fabric at F.
To complete this step, make a vertical stitch along the back of the fabric from F to E, inserting the needle through E.

, Cross over the front of the fabric and insert the needle at the top point of the adjacent vertical stitch, now identified as point G. Pull the thread through to create a flat diagonal stitch.


This newest diagonal stitch should cross over the center of the last diagonal stitch made during your first trip down the length of the row. The resulting stitch will be x-shaped.
Note that G lies to the horizontal right of F.

, Insert the needle through to the front of the fabric at the bottom point of the current vertical post you're resting on. This point can now be referred to as point H.


Point H is directly beneath point G and to the right of E.

, Zigzag your stitches down the length of the row, working from the left edge to the right edge. End by overlapping the very first vertical post you made.


These stitches should be nearly identical to the ones you created down the first pass, but they will slant in the opposite direction (left to right instead of right to left).
For each stitch:

Stitch a vertical line between E and F on the front of the fabric, overlapping the vertical post already there.
Stitch between F and E along the back of the fabric, inserting through to the front at E again.
Stitch diagonally across the front from E to G.
Stitch between G and H along the back of the fabric, inserting through to the front at H.


The end of the row should conclude with a vertical stitch between your final H and G points.

, If done correctly, the needle and thread should be at the back of your fabric. Knot the thread here and cut off any excess thread to complete the zigzag row.


To knot the thread:

Bring the needle through the front and back of the fabric at a spot directly next to your current insertion point.
Before drawing the thread flat, insert the needle through the loop you just created. Do so two or three times, then draw the loop closed. This should create a secure knot.



"
"
Poke the needle through to the front of the fabric.,
Insert the needle into the fabric at the same point.,
Poke through at a diagonal point.,
Pull the thread into a loop.,
Tighten the loop.,
Pierce the center of the loop.,
Bring the needle out at a slant.,
Repeat the chain procedure.,
Alternate the slant down the line.,
Knot the thread at the back of the fabric.",How to Do a Zigzag Stitch by Hand2," Insert the needle through the fabric from back to front. Begin at the bottom left edge of your intended stitch line, point A.


Pull the needle and thread completely through until the end knot lies flat against the back of the fabric.

, Insert the needle through the front of the fabric at a point directly on top of A, point AA.


As you look at the front of the fabric, A and AA should look like the same point. There needs to be a few threads separating them to prevent the stitch from falling out, though.
Do not pull the needle and thread through this point yet. Only insert the tip of the needle for now.

, Slide the tip of the needle along the back of the fabric at a 45 degree angle. Insert it through the front of the fabric at a point lying to the upward diagonal left of AA. This new point will be point B.


The space between AA and B will determine the width of your stitches. Unless otherwise noted, distance of 1/8 inch (3.175 mm) is usually a good choice.
Do not pull the needle and thread completely through AA or B yet.

, Use your fingers to position the thread leading into AA underneath the tip of the needle coming out at B.A little line of thread should run parallel to the needle on its left side. The rest should be tucked beneath the needle, extending down from the needle's right side.

, Pull the needle and thread completely through to the front of the fabric again. Doing so should tighten the loop created in the previous step.


The needle should now be free and lying along the front of the fabric.
Note that the point of the loop comes together at A and AA. The rounded portion of the loop should lie to the immediate outside of B, and the thread should be coming out at B to the inside of the loop.

, Insert the needle through the fabric at a point that overlaps B. Label this point BB.


As with A and AA, B and BB should only have a few threads separating them.
Only insert the tip of the needle. Do not pull the entire needle through to the back of the fabric.

, Poke the tip of the needle back through to the front of the fabric at a 45 degree downward slant, bringing it out at point C.


Point C should be horizontally even with A and AA.
Do not pull the needle completely through BB or C yet.

, Create another chain link using the same procedure followed for the first chain. Your two chains should form one zigzag.


Slide the thread underneath the tip of the needle coming out at BB, creating a wide loop in the process.
Pull the needle and thread completely through to the front of the fabric, tightening the loop you just created.

, Continue making chains across the length of the row until you reach the end. Each chain should slant in the direction opposite the slant of the chain before and after it.


Each chain stitch should be slanted at a 45 degree angle.

, Once you reach the end of the stitch row, insert the needle into the front of the fabric and out through the back. Tie a knot at the back of the fabric.


To knot the thread:

Insert the needle through the front and back of the fabric at a point directly next to your final insertion point.
Before you draw the thread flat, draw the needle through the newly created loop two or three times.
Draw the loop closed to create a secure knot.



"
"
Leave some excess thread.,
Avoid sewing on top of other fabrics.,
Turn the garment so that the backside is facing you.,
Make a loop.,
Use the needle to make a knot.,
Remove the excess thread.",How to End a Stitch," Try to leave at least three inches of extra thread so that you can successfully secure a stitch without losing the end of the thread.






;
, Keep the garment on a flat surface (like a table) so that you don’t stitch into another layer of fabric, such as your own clothing.








, You should also be able to see the length of the nearby stitch you just made.








, Insert the needle under the nearby stitch and pull it under the stitch until it forms a loop.









Note: For single or double thread you can alternatively make a loop with only the string itself. Holding the thread in one hand and the needle in the other, loop the thread over the needle and pull the needle through the loop. Then slowly pull the loop down until it is flush with the fabric and tighten it. This will make a knot., Slowly pull the needle through the loop and pull it tight. This will cause the beginning of a knot.









Note: With double thread, you can also take the thread out of the needle (leaving you with both strands of thread hanging from the back of the fabric) and fold the left side of the thread over and back under the right side several times like you are tying your shoes (just the first step of shoe-tying, not the loop parts).
Repeat this step several times to ensure the knot is secure.

, Cut the extra thread on the outside of the knot so the back of the fabric looks clean and uncluttered. Use very sharp scissors.







"
"
Face the material with the wrong side out.,
Measure the required space between the edge and where your sewing line will go.,
Clip a ""V"" shape from the raw edge of the fabric to the line of your seam allowance.

,
Clip out more ""V"" shapes at evenly spaced intervals all the way along the curved seam edge.

,
Sew the curved seam at the seam allowance line.,
Trim if needed.",How to Sew a Curved Seam," This is presumed, unless your pattern states otherwise.;
, This makes the seam allowance.

,,, The little clipped ""V""s will ensure that the seam allowance lies flat on the inside.

, Then turn the sewing the right side out. Continue sewing other parts of the fabric item as instructed by the pattern.

"
"
Begin with fine, long needle and suitable thread.,
Place the sequin with care on the top side of the fabric, sitting in the position that you want it to be.

,
Bring the needle up through the fabric.,
Return to the backside of the fabric.,
Tie the ends of the thread together on the back side to create secure knot.

,
Move on to the next sequin.",How to Sew a Sequin on Fabric," The thread should be fine and strong; silk or cotton are good natural choices while polyester thread is long-lasting.Place the needle and thread on the underside of the fabric where you intend sewing the sequin into place.


Match the thread to the color of the sequin rather than to the fabric.;
,, Draw it through the center of the sequin. Leave a long tail of thread on the underside.

, Cross the thread over the top of the sequin.

,, The more that you sew, the faster this will become as you get used to the rhythm of going through the motions.


When sewing sequins in a row, be sure that they're not overlapping unless this is the final look you wish to achieve.

"
"
Thread a long, thin sewing needle with thread that matches the material you are going to sew.,
Knot one end of the thread.

,
Iron the material to crease it if necessary.,
Position the fabrics as you want and pin them in place.

,
Slide the needle through the material from the back side to attach the thread to the material.,
From this point forward, your objective should be to make long stitches in one piece of fabric and tiny stitches in the other.,
Congratulations on your new sewing skill!

,
Finished.

",How to Blind Stitch,";
,, (In the cases of hems, or edges of applique, for example.)

,, (The thread knot should hold in the material after the needle has slipped through.)

, By careful positioning of the needle points of exit or entry into the fabric, you can minimize the appearance of the hemming thread and make it appear invisible. See sketch.










,,"
"
Thread a needle and tie a knot in the thread.,
Hold your fabric together and start sewing with a ""running"" stitch.,
Remove any basting stitches when you are satisfied with the permanent seam.

",How to Baste Fabric1,";
, Nothing fancy here, just up, down, up down. You can reposition your fabric between stitches if necessary and do any small tweaking as you go.

,"
"
Set your stitch length to its longest setting.

,
Pin carefully.

,
Sew slowly, making any adjustments as you go.

,
Check for fit or shape.

,
Adjust the stitch length to normal (usually 1.5 - 2.5 mm) and sew the ""permanent"" seam.

,
Remove any basting which shows on the exterior of the garment.

",How to Baste Fabric2,",,,,,"
"
Trace a line onto the fabric.,
Mount the fabric in an embroidery hoop.,
Thread the embroidery needle.",How to Do a Split Stitch1," Use an embroidery transfer pen to lightly trace the line you plan to embroider onto the fabric.


If you're only practicing the stitch and not following a pattern, you might find it easier to start practicing with straight lines.
Once you feel comfortable working with straight lines, draw some curved lines and shapes. The split stitch and split backstitch are both relatively easy to navigate around curves.

, Place your fabric in an embroidery hoop, centering the line you traced so that it falls in the middle of the hoop.


Place the fabric over the inner ring of the hoop.
Press the outer ring down, over the fabric and the inner ring.
Smooth out all the wrinkles and creases in your fabric.
Tighten the screw on your embroidery hoop. This should secure the fabric in place, making it ready for embroidery work.

, Insert the embroidery floss through the eye of your embroidery needle. Knot the tail end of the floss.


Choose six strand floss when you're starting out with the split stitch and split backstitch. You should be able to separate the floss evenly as you split each stitch, keeping three stitches on both sides of the needle.

"
"
Bring the thread out from the back of the fabric.,
Insert the needle into a point further down the line.,
Poke the needle out halfway between the two points.,
Draw the needle through the thread.,
Insert the needle into a point further down the line.,
Split the thread again as you poke the needle out.,
Repeat down the line.,
Knot the end of the thread.",How to Do a Split Stitch2," Point the needle at the back of your fabric, positioning it just below the start of your line. Insert the needle into the fabric and draw it through to the top.


This will be the A point of your stitch.
Draw the needle and thread completely through the A point. Continue drawing it through until the knot at the tail of your embroidery floss hits the back of the fabric, preventing the floss from moving further.;
, Point the needle at a position a little further down the line. Only poke the tip of the needle through this point/


This will be the B point of your stitch.
Do not draw the needle completely through the B point. No more than one-third to one-half of the needle should poke through to the bottom of the fabric.

, Slide the tip of the needle along the back of the fabric. Insert the tip back through to the top of the fabric at a point along the line that lies halfway between A and B.


This is the C point of the stitch.
Do not draw the entire needle through the C point yet.

, Slide the tip of the needle along the front of the fabric and through the floss coming out at A. Draw the needle and thread completely through this position.Split the thread evenly. When using six-strand floss, there should be three strands on each side of the needle.
Draw the needle and thread completely through the fabric until the thread lies flat after splitting the stitch.
This step completes one split stitch.

, Point the needle at a position further down the line. Insert the tip of the needle into fabric at this point.


This will be your D point.
This step start a second split stitch.
Note that the distance between C and D should be roughly the same as the distance between A and B.

, Slide the needle along the back of the fabric, poking it out at the front of the fabric at a point halfway along your first stitch.


Make sure that the needle splits the thread of the first stitch evenly as you poke it back through to the top of the fabric.
Once the stitch is split, you should pull the needle and thread completely through to the top of the fabric, stopping once the thread lies flat.
This step completes a second split stitch.

, Each remaining split stitch will need to be made using the same technique practiced on the second split stitch.


Poke the needle into the fabric at a place further down the line.
Insert the needle back through the top of the fabric at the halfway point of your previous stitch, splitting the previous stitch in the process.
Draw the needle and thread through until the thread lies flat against the fabric.

, When you finish split stitching down the line, draw the thread through to the back of the fabric. Tie a small knot to secure the stitches.


Instead of tying a knot, you could weave the ends of your embroidery floss through some of the previous stitching to secure it.

"
