headline,title,text
"
Create a new folder to hold the pictures you want as your backgrounds.,
Put your pictures in it.,
Right-click anywhere on the desktop and select ""Change Desktop Background...""

,
Click the + sign on the bottom left.

,
Select the folder with your background images, and click ""Choose"".

,
Mark the checkbox to allow changing backgrounds and set it to the time you prefer - for example, 30 minutes.

",How to Make a Changing Background on Your Computer (Mac),";
, Drag and drop, move, or copy and paste them in.

,,,,"
"
Please Note; TAKEOWN, NETSH and many other more 'intrusive' commands WILL NOT be present here.,
Find what's actually available in your interpreter, as well what programs are using it, check the cmd folder.,
If you are at the Command Prompt, type the application name and the /?,
Open the Command Prompt.,
Retrieve the list of commands.,
Open the Command Prompt.,
Type help, followed by the command.,
Review the information that appears.",How to Find All Commands of CMD in Your Computer,"


See more commands (but NOT ALL of them) you can visit microsoft technet - https://technet.microsoft.com/en-au/library/bb490890.aspx
;
, Go to computer --->C:--->windows--->System32. The Application (not application extension) are the current executable commands within the interpreter on your system.

, attribute (read further) or type the word /help after the command and to see what it does, and the basic way to use it

, You can open the Command Prompt by pressing ⊞ Win+R to open the Run box and typing cmd. Windows 8 users can also press ⊞ Win+X and select Command Prompt from the menu.

, Type help and press ↵ Enter. A list of all the available commands will be displayed. The listed is sorted alphabetically.


The list is usually larger than the Command Prompt window, so you may need to scroll up to find the command you want.
The list varies slightly depending on which Windows version you are using, as commands are occasionally added or removed.
A short description of the command will be displayed next to each entry.
You can enter the help command at any location in the Command Prompt.

, You can open the Command Prompt by pressing ⊞ Win+R to open the Run box and typing cmd. Windows 8 users can also press ⊞ Win+X and select Command Prompt from the menu.

, For example, if you wanted more information n the ""mkdir"" command, you would type help mkdir and press ↵ Enter. The additional information will be displayed beneath.

, The amount of information you get will vary depending on the command and its complexity. The help information may just tell you how to properly format the command, or it may provide information on how to get more functionality out of it than you might normally."
"
Click the little blue or gray apple at the top of your screen.

,
Click the gray text that displays the version number twice.

,
Your serial number will display.

",How to Find Your Macbook's Serial Number2,",,"
"
Turn your macbook over and look for the serial number on the bottom.
",How to Find Your Macbook's Serial Number3,
"
Go to “Start and type “Run” in the search box.,
Open “Run” and type “regedit” in the search box.,
Navigate to the “ContextMenuHandlers” folder.,
Add a key to the ContextMenuHandlers folder.,
Change the Default Value of the sub-key.,
Check the new right-click options.",How to Add New Options to Right Click Menu in Windows1," Click on the Windows icon on the bottom left corner of the screen to bring up the programs tab. Type in “Run” and hit enter to bring up the program to the list.;
, Double-click on the “Run” icon to bring up the program, and type in “regedit” to open up the registry editing tool for Microsoft Windows.

, This folder contains all of the applications, shortcuts and other options that are present in your right-click context menu. There are different “ContextMenuHandlers” folders present in the registry, and you’ll want to select that one that meets your needs:If you wish to add options to the right-click menu for files, navigate to HKEY_CLASSES_ROOT\*\shellex\ContextMenuHandlers\.
If you wish to add options to the right-click menu for folders, navigate to HKEY_CLASSES_ROOT\Folder\shellex\ContextMenuHandlers\.
If you wish to add options to the right-click menu for desktop, navigate to HKEY_CLASSES_ROOT\Directory\Background\shellex\ContextMenuHandlers.

, Right-click on the ContextMenuHandlers folder, move the cursor over to “New,” and click on “Key.” A sub-key will be created under the default name of “New Key #1.”


Rename the new key to the name of the application or pathway you wish to add to the right-click context menu. For instance, if you wish to add a shortcut to the Command Prompt in the right-click menu, enter the name of the sub-key as “Command Prompt.” You can name the sub-key whatever you want, it does not affect the application or the process.

, To change the value of the sub-key, double-click on the “Default” value inside the sub-key that you have created. In order for the computer to recognize the application, you must add the path to the executable (.exe) file of the application to the Default value.


To find the path of a file or folder, right-click on the address bar of the window in which the file or folder is located. Left-click on “Copy address” and paste it in Notepad to view the address. You can also directly paste the pathway as the Default Value of the key.
Make sure that you add the path of the file, application, or folder correctly into the value of the Default key. For instance, if you are adding Command Prompt to your right-click menu, enter the path “C:\Windows\system32\cmd.exe” as the value of the Default key.
Make sure that you do not interfere or edit the values of any other keys other than ContextMenuhandlers. Editing or deleting the wrong folders or keys could corrupt the operating system.

, Go to your desktop (or a folder or file if that’s the registry value you changed) and right-click to view and confirm that the new option has been added to the right-click context menu.

"
"
Open the start menu and click on Computer;
,
Double click on your C:\ drive (or wherever Windows is installed)

,
Double click on the Windows folder, then click on the system32 folder.

,Click into the search bar at the top right of the window and type ""sethc"" without quotes, into the bar

,Right click the file with a circular logo and click Rename

,
Rename the file ""sethc2"", without quotes and click enter.

,Click Yes in any boxes that ask you for administrator permission

,Start a new search for ""cmd""

,Right click the file with a black-boxed logo and click ""Copy""

,Exit out of the search by clicking the red X in the search bar

,Staying in the same folder, right click an empty area of the screen and click Paste

,Right click the file you just created and click ""Rename""

,Name the file ""sethc"" without quotes and press Enter

,
Close all open windows and press the Shift key 5 times.

,A command prompt window should appear

",How to Activate Command Prompt in the Login Screen,",,,,,,,,,,,,,,"
"
Locate your file.,
Click and drag your file onto the desktop.,
Right-click your file.,
Click Properties.,
Look at the file extension.,
Write down the file extension.,
Open Command Prompt.,
Type in cd desktop and press ↵ Enter.,
Type in del .,
Press ↵ Enter.",How to Delete a File Using Command Prompt," If you know where the file is, you can navigate to it by simply opening the appropriate folder. For example, if you're trying to delete a picture or a text file, you will likely want to look in the default ""Documents"" folder, which typically holds those file types.


If you don't know where your file is, type its name into the Start search bar, right-click the file when it pops up, and click Open file location to go directly to the file.;
, Doing so will make the deletion process easier as you won't have to change the deletion location from within Command Prompt.


The exception to this rule is if you're trying to delete a file from the ""System32"" folder, which is Windows' system files folder. If that's the case, leave your file there.

, This will prompt a drop-down menu.

, It's at the bottom of the drop-down menu.

, The file's extension is listed near the top of the ""General"" tab in the ""Properties"" window, to the right of the ""Type of file:"" text. You'll need to know your file's extension in order to delete it using Command Prompt. Common extensions include the following:



.txt - Text files (files made in Notepad).

.docx - Microsoft Word files.

.jpg or .png - Picture files.

.mov, .wmv, .mp4 - Video files.

.mp3, .wav - Sound files.

.exe - Executable files (e.g., a setup file).

.lnk - Shortcut files. Deleting a shortcut will not remove the attached program from your computer.

, Once you know the file extension, you're ready to open and use Command Prompt.

, In this case, you'll want to avoid the ""Administrator"" (or ""Admin"") version of Command Prompt unless you're deleting a file in the ""System32"" folder. You can open Command Prompt in a variety of ways depending on your version of Windows:


Hold down ⊞ Win and press X, then click Command Prompt above the Start button.
Right-click the Start button in the bottom-left corner of the screen, then click Command Prompt in the pop-up window.
Type ""Command Prompt"" into the Start menu search bar (for Windows 8, hover your mouse in the top-right corner of the screen and click the magnifying glass), then click the ""Command Prompt"" icon when it appears.
Open the ""Run"" app from the Start menu, type in ""cmd"", and click OK.

, Doing so will change the location (or ""directory"") in Command Prompt to your desktop.


There are other ways you can change the Command Prompt directory if need be.
Opening Command Prompt in ""Administrator"" mode will change the directory to the ""System32"" file. For this reason, do not open Command Prompt in ""Administrator"" unless your file is in the ""System32"" folder.

, Replace ""filename.filetype"" with your file's actual name and extension.


For example, a picture file named ""icecream"" would become icecream.png, a text file named ""notes"" would become notes.txt, and so on.
For files with spaces in their names, place quotation marks around the entire file name: ""I like turtles.jpg"" instead of I_like_turtles.jpg or similar.
To delete all files on your desktop that share the same extension (e.g., all text files), type *.filetype where ""filetype"" is the extension (e.g., *.txt).

, You will see a new, blank line appear in Command Prompt. Your file is now gone.


Since the ""del"" command removes files directly from your hard drive, you won't need to delete the file again from the Recycling Bin.

"
"
Right click on your task bar.,
Click “Start Menu” and then click “Customize” button.

,
Customize Start Window will appear and you have to locate “Control Panel Section” and then click “Display as a menu” radio button.

,
Click OK.

,
Click Start Menu and you will see that the Control Panel has become a sub menu with it all items.

",How to Add the Control Panel to the Start Menu as a Submenu," Then from the popup menu, select “Properties”


Taskbar and start menu properties window will appear.





;
,,,,"
"
Download and install Open++.,
Access the Open++ application.,
Click on “Add” and enter the details of the command.,
Add the new command to Open++.,
Access the Open++ right-click menu extension.",How to Add New Options to Right Click Menu in Windows2," Open++ is a third-party software that makes the process of adding options to the right-click menu easier and quicker.


Download the Open++ freeware application from any trusted website and follow the installation instructions.
Read each installation screen to ensure that you aren’t installing additional software. This is especially important if you are downloading Open++ from a location like Download.com or Tucows.com.

, The Open++ software offers a simple layout and a window that displays all of the “Commands” that are currently present in the right-click menu.


You can scroll down the window to see all of the commands that are present in the right-click menu for files, folders, and the desktop as well.

, There will be a number of commands that are already present in the Open++ “Commands” window. Click the “Add” button on the right side of the window, and click on “Command” to add new commands to the Open++ context menu.

, A new icon will appear in the “Commands” window, under the default name of “New Command.”


In order to change the name of the command, type the new name inside the “Title” field.
If you wish to use the command to open a particular program on the computer, use the “Program” field to locate the .exe file of the program.
You can also choose the icon for the command by using the “Icon” option. You can also associate the command to particular file types, by entering their format in the “File types” field.
Once you have added the details of the command you wish to add to Open++, click “Apply” to save your choices.

, The preset commands and the commands you have added to Open++ will be displayed in the right-click context menu. When you right-click, select the “Open++” option to expand an additional menu with your Open++ commands."
"
Press Start.,
Click On Control Panel.

",How to Add Games to Windows 71,";
,"
