headline,title,text
"
Elevate swollen limbs.,
Massage the swollen limbs.,
Stretch throughout the day.",How to Prevent Swelling in Hot Weather3," If your legs are swollen, you can lay on your back with your legs propped up above your head. This will help reduce the swelling. If the swelling is consistently bad, try sleeping like this., Don’t cause yourself pain, but massage the area where you notice swelling. Rub the muscles firmly to reduce fluid build-up in your muscles., If you find yourself sitting or standing in one position for a long time, take a moment to stretch. Each hour, take just 2-5 minutes to stretch. Ankle pumps, quad stretches, and calf stretches are a great way to get the blood flow without doing a lot of movement. You can do these stretches silently at your desk or while standing so that it they don’t disrupt your day.


If your hands and fingers feel swollen, focus on shoulder and back stretches.

"
"
Make a disaster plan with your family.,
Prune your trees regularly.,
Secure or plan to store outdoor objects.",How to Prepare for a Thunderstorm1," Plan to stay indoors whenever a thunderstorm is approaching. For severe thunderstorms, designate a safe place in your house where your family can gather. Choose a location that’s away from windows, skylights, and glass doors.Make sure you plan for your pets as well. If possible, designate a family member to bring your pets inside during a thunderstorm.;
, Cut away any dead or rotting tree branches as soon as you notice them. Similarly, remove any dead trees in your yard. Thunderstorms produce high winds that can topple weak branches and trees, causing property damage, injury, and death.


Check your local government website to find out how to dispose of dead tree debris properly. Each city has different rules and you could be fined if you don’t follow them.
If you don’t want to prune your own trees hire a tree service to do it for you.

, Patio furniture, grills, smokers, and flower pots can become lethal projectiles in high winds.If possible, secure the outdoor furniture with cinderblocks or strong tethers. Otherwise, create a plan that allows you to quickly store the outdoor objects in a gardening shed.


Practice storing the items and time yourself. Try to do it as quickly as you can. It’s better to be indoors with unsecured outdoor furniture than caught outside in a storm.

"
"
Wear wicking underwear.,
Wear long pants.,
Cover your arms.,
Dress for the weather.,
Wear moisture-wicking socks.,
Invest in good boots.,
Don't forget a hat.,
Remember sunglasses and sunscreen.,
Use a lightweight backpack.,
Bring plenty of water.,
Bring food.,
Pack vital survival supplies.",How to Dress for Desert Conditions," Start with undergarments that are made from synthetic nylon, polyester or spandex blends and offer moisture wicking. That means less chafing and more comfort. Women might want to wear a sports bra, which are built for warm and sweaty conditions., Yes, it's hot, but protecting your skin from the elements is vital. Think loose, lightweight cotton pants in light colors, such as khakis or cargo pants. Looser pants keep air moving and help evaporate sweat. Long pants also help protect your legs from spiny plants.

, Long-sleeved, slightly loose cotton shirts are your best bet. Make sure your collarbone and chest are covered too. Choose light colors that help reflect the sun's rays.Layering a t-shirt or tank top may be helpful under your long-sleeved shirt, so you can remove your top layer in shady spots and cool off a bit. Choose a close-fitting, wicking fabric.

, Deserts can get surprisingly cold at night. A windproof shell will protect against gusts. For cooler months or nights, a fleece pullover is ideal. Fleece dries quickly and can be used as a pillow in a pinch. If you get lost or stuck, a jacket or space blanket can help prevent hypothermia., If your feet aren't happy, the rest of you won't be either. Make sure they're a snug-fitting blend that wicks moisture, and rise to crew length (mid-calf), so no sun or scorpions can sneak through.It may seem counterintuitive, but merino wool is a great bet for a natural wicking fabric on hot summer days. It also repels odors.Avoid all-cotton socks, which keep moisture close to your feet and can cause blisters.

, This is the place to spend the most money. Boots are a vital part of your gear, and can protect you from injury, snakes, spines and heat. Wearing higher-cut hiking boots offers additional ankle support. You may need to go a size up from your normal shoes.


Choose a sturdy, slip-free sole that will work well on rocks and rough terrain. Depending on terrain, you'll probably want trail or rough-trail rated boots. Look for a pair that's got some ventilation for hot desert conditions.Look for adequate padding around your ankle, which is critical for long-wear comfort.When trying on boots, make sure you wear the same socks you'll be wearing to hike.

, Wide-brimmed is best, but if you're attached to your baseball cap, add a bandana to cover your neck. Add a strap to make sure strong winds don't carry your hat away. , Make sure they offer complete UV protection. Look for a broad-spectrum sunscreen, at least SPF 30. Apply liberally to any exposed skin, including lips and hands. Bring a small tube for reapplying.

, Pick one that fits comfortably and distributes weight evenly. Travel light. Your heaviest items should be water and food., Being dehydrated in the desert can be deadly. A good rule of thumb is to drink a liter per hour, more if you're hiking in temperatures above 85F/30C. , You'll need quick energy with all the calories hiking in the desert can burn. Sports bars, trail mix, sandwiches, dried fruit and jerky are popular options. Look for non-perishable options. , A first aid kit, signal mirror, flashlight and compass should be in your pack. You may not need them, but if you do, you'll be glad to have them on hand. "
"
Get out in the cold.,
Take cold showers.,
Gain weight.,
Exercise regularly.",How to Get Used to Cold Temperatures1," If you want to be able to get used to the cold, you’ll have to actually get out in it. If it’s late fall or winter, or if you live in an area with a year-round cold climate, spend a couple hours outside every day. Only wear as much warm clothing as necessary, and shed layers once you get more comfortable. With time, you’ll be be able to spend longer and longer outside and be affected less by the temperature.When spending long durations outside, try wearing gloves, boots and a hat, but leaving the jackets inside. It’s usually the extremities that get cold quickest, and number fingers or ears might make you call it quits long before the rest of your body actually gets too cold.Try driving around without the heat on in your car when you have to get out. For more of a challenge, roll the windows down.;
, Turn the shower faucet opposite the direction that you’re used to when taking your daily shower. Taking cold showers can be supremely uncomfortable, but it’s a good head-first way to begin building up the body’s tolerance to immersion in cold temperatures, and it’s the closest many of us are likely to get to the practices like Arctic Sea diving that help bodies begin to make physiological adaptations to cold.Build up to cold showers by decreasing the temperatures that you’re used to bathing in a little at a time. If you try to go too cold too soon, you may not be able to withstand an entire shower.
You might also try alternating between hot and cold water when showering to get used to rapid changes in temperature similar to when you step outside., The function of the body’s fat stores is to provide a steady supply of calories to burn for energy, and to act as cushioning layer to protect and keep the body’s internal organs at a consistent temperature. While not necessarily an attractive option, gaining body fat will keep you that much warmer when conditions are frigid.Putting on a little extra body fat should be done with discretion; you should still aim to eat a balanced, healthy diet, just with a moderate increase in the amount of calories you ordinarily consume.
Eating foods rich in protein, carbohydrates and healthy fats, such as lean meats, dairy, starchy whole grains and vegetable oils is a time-tested way to put on weight without placing undue stress on the heart and digestive system., Start performing cardiovascular and resistance training sessions multiple times per week. Your body’s metabolism, which is responsible for breaking down calories to release energy, helps regulate your average body temperature, and becomes more efficient when adapting to the effects of intense exercise. In other words, working out will cause you run a bit hotter, as your metabolism will be kept in a healthy, revved up state.Increasing muscle mass will help you stay warm on its own, as it’s simply more warm tissue packed on the body.With cardiovascular exercise, your heart and lungs’ ability to circulate oxygen-rich blood will improve, making the whole machine run better.

"
"
Watch the weather.,
Unplug any electrical equipment.,
Stay away from water.,
Follow the thirty minute rule.,
Find shelter if you’re outside.,
Stay in your car.",How to Prepare for a Thunderstorm2," Monitor the weather by watching the local forecast on TV, checking the newspaper, searching online, or signing up for text message notifications from your local government. With the advancement of technology, most thunderstorms can be predicted more than a day in advance. The more warning you have the more time you’ll have to prepare for the worst.


Cancel any outdoor plans during a thunderstorm. Even if the weather doesn't seem bad you could still be hit by lightning.

, The lighting from thunderstorms can cause power surges that can damage or destroy electronics. This is especially important for computers and expensive electronics. However, make sure you unplug the electronics before the storm approaches. If you’re touching an appliance during a power surge you’ll get electrocuted.If you have electronics that you don’t want to unplug, purchase a surge protector power strip from an electronics store.

, Avoid taking showers, washing your hands, or bathing. The metal pipes in bathroom fixtures can conduct electricity. If you’re showering when lighting strikes, you may be electrocuted. Similarly, stay away from pools as water conducts electricity as well.


Avoid indoor pools. Some indoor pools have metal fixtures that can conduct electricity. Play it safe and stay out of the pool.

, The National Weather Service recommends that you stay inside for at least thirty minutes after hearing the last peal of thunder. Even if you’re sure that the worst of the storm is over it’s better to wait than to go outside. Lighting can still strike you even if the storm has moved.Avoid swimming in water for at least an hour, if not for the rest of the day.

, Shelter inside a safe building or get into a hard-topped vehicle if you can. If you can’t, avoid all open fields and tall, isolated trees. Stay away from water, metal objects, and hilltops. If possible, shelter among a lower grouping of trees. This will slightly reduce your risk of getting hit by lightning.If you’re camping, leave the tent to find shelter. Tents do not offer protection from lightning.

, If you’re driving in a hard-topped vehicle during a lightning storm, stay in your car until the storm passes. If your car is struck by lightning, the current will flow over the body of the car and into the ground. Watch out for flooding on the road as well. If there’s a lot of water on the road in front of you, pull over and wait for the storm to pass.Golf carts and convertible cars don’t offer any lightning protection.
Your car may sustain damage to the tires or the electrical system if struck by lightning.

"
"
Stock your home for emergencies.,
Shutter all windows and lock all doors.,
Stay in your designated safe place.",How to Prepare for a Thunderstorm3," Sometimes severe weather forces people to stay indoors for days at a time. Make sure you have enough water, non-perishable food, medication, personal hygiene items, and batteries to last at least seven days. Store extra flashlights, tools, and cell phone chargers nearby that are only for emergencies. If possible, include extra cash just in case you have to evacuate. You may not be able to reach an ATM.Buy a hand-crank radio to use if the power goes out. The radio will be an invaluable source of information if you need to evacuate.
Stock one gallon of water per person per day.

, High winds can break windows and doors, hurling glass and wood debris through the air. Shuttering the windows and locking the doors helps protect them from the wind and airborne debris outside.If you don’t have any shutters on your windows, close them as best you can and cover them with blinds, shades, or curtains.
If your door doesn’t lock push a heavy piece of furniture in front of it to keep it closed.

, Don’t leave during the storm to search for people. If you need to reach someone, use your cell phone. If you use a landline you risk being electrocuted.If you’re worried about debris falling on your head, cover yourself with a thick blanket or hide under a mattress.


Don’t touch electrical outlets or appliances that are plugged in.
Keep away from any windows or doors.

"
"
Turn down the thermostat.,
Get out of the habit of covering up.,
Drink ice water.,
Enjoy cold-weather activities.",How to Get Used to Cold Temperatures2," Just as you’ve been getting used to the cold outside, you should be making an effort to get acclimated to the cold inside as well. People most often keep the temperature in their homes in the low- to mid-seventies, as this is most hospitable to the body’s equilibrium. Try turning yours down a few degrees at a time until you can stand living in a cooler space.Toughing out a cold house is also a great way to save on the cost of utilities during the winter. Just check with your family or roommates first if you don’t live alone.

, The next time you get chilly and you’re tempted to grab a cozy throw blanket or pair of house shoes, don’t. Instead, bear it, and do something to take your mind off the chill if you need to. The idea is to break yourself of the need to always be covered up with warm layers when it’s cold and instead learn to cope with it on your own. If you’ve gotten used to living in cooler temperatures and have been taking cold showers routinely, this step should be a breeze.


If you find yourself having a hard time resisting that comforter or quilt, fold it and put it away on the top shelf of a closet. You’ll be less likely to reach for it if it’s put away and you have to go to the trouble of getting it out again.
Your body temperature naturally drops slightly when you sleep, so if you want a crash course in developing willpower, train yourself to sleep without a blanket!, Make ice water your go-to drink of choice, even in the dead of winter. Ingesting an icy beverage lowers your internal temperature ever-so-slightly, which will force your body’s adaptive responses to compensate for the change. Whereas most people turn to coffee or hot chocolate in the colder months to get warm, you should be doing the opposite. Eventually, you’ll no longer even feel the need to warm up.In addition to being a useful tool for building up your cold tolerance, ice water is also usually free and can be found almost anywhere.

, Desensitizing yourself to the cold doesn’t have to be all stern-faced discipline. Take up an outdoor winter sport like sledding, skiing or snowboarding and give yourself a fun way to get outside while everyone else is huddled up indoors. You’ll become one with the cold much faster, and you’ll also have an enjoyable way to pass the cold months instead remaining cooped up.Take a camping trip in the late fall or winter for a head-first approach to dealing with cold. Once you’re in the wild, you’ll have no choice but to sleep on the cold ground out in the elements, and your body will thank you!
Chances are, you’ll begin to get overheated after a few hours of intense skiing or snowboard, demonstrating just how much heat your body is capable of generating on its own. This should give you a confidence boost for your own ability to overcome the cold."
"
Feel the actual temperature.,
Imagine that it’s even colder.,
Stop shivering.,
Know that cold is usually not a threat.",How to Get Used to Cold Temperatures3," Rather than just thinking about how cold you feel when you step outside, concentrate on feeling the exact temperature of your environment. There’s usually a stark difference: you’re hardly ever as cold as you think you are. Try to accurately gauge the cold around you so that you’re not exaggerating your response to it.Learning to feel how cold you actually are is part of taking control over your unconscious responses to stress.

, It may be a little brisk out for your liking, but what if it was even colder? This is a mental trick to keep things in perspective that will serve to make cold conditions not seem so bad by comparison. If you remind yourself that there are people living in much colder places like Antarctica or Siberia without complaining, a Midwestern winter evening won’t seem quite so harsh anymore., Whenever you find yourself shivering, force yourself to stop. Shivering is one of the body’s heat-generating mechanisms when it’s cold, but conditions generally have to be pretty extreme for there to be an actual need for the physiological response. If the temperature outside is right around or just below freezing and you find yourself shivering uncontrollably, you’re probably overreacting.


Shivering is an autonomic process in the body that produces heat by forcing the muscles to make tiny, rapid contractions, similar to the effects of exercise.Research has demonstrated that shivering in non-freezing conditions is mostly unnecessary and doesn’t have a much effect on combating mild cold., It’s instinctual to react with discomfort to unusual conditions, but discomfort and danger are two different things. There’s usually no harm in being in a cold environment, as long as the cold is not severe enough to actually lower to body’s core temperature and exposure is not overly prolonged.Cold exposure doesn’t become life-threatening until it drops the core body temperature to around 95 degrees Fahrenheit, before which time you’d be better off swallowing your pride and finding a place of refuge with heat."
"
Acquire used cargo containers.,
Create the cargo container shelter during non-tornado season.,
Start prepping.,
Shipping containers are built to to be stacked, so they are strong vertically, but the sides are too weak to have tons of dirt pressing onto them.,
Make or buy a ship type hatch that can be dogged down tight, yet still be able to open wide to accommodate large items.

,
Set the container in the ground.,
Use concrete blocks for the bottom of the hole you have dug.,
Push the dirt back into the hole.,
Make your shelter comfortable.",How to Make a Cargo Container Shelter," All over the U.S. and in other countries there are stacks of used cargo containers. The owners don't make money when they have to ship them back empty so they sell them off to be cut up for scrap or even turned into portable housing. Looking up cargo containers on Google will give you some idea of what can be done with a steel box that is approximately 10 X 10 x 20, 30 or even 40 feet (12.2 m) long.;
, Tornadoes and hurricanes only strike during specific times of the year, so the off-season is, of course, the best time to install a cargo container shelter.

, Modify the doors, which should be made for quick entry. There are several other things that have to be done, such as making the container airtight..

, They need some kind of reinforcement for underground use.

,, Once the doors have been modified it is now time to place the container in the ground and no you're not going to bury the whole thing, the hole will only be one foot wider than the container and only a foot longer with a ramp at the door/hatch end for quick entry and exit and only half as deep as the container is high.

, The bottom of the hole should be prepared with either a set of concrete blocks or a solid footing for the container to rest on depending on weather and ground water and on how the container will be put into the hole, pushed in or dropped in by a crane.

, The dirt taken from the hole would then be pushed back into the open sides and far end creating a slope up to the top on three sides. The top of the container can then be covered by planking to make a nice deck or even have a nice gazebo for summer.

, The inside can be made as comfortable as you want or left as is but when the storm season comes you just may have to live in it till your house is rebuilt. Once it is in the ground and ramped with earth it would take an exceptionally strong wind to blow it away.

"
"
Stay informed.,
Bring the appropriate clothing.,
Know that afternoon showers are so predictable in Florida, you can literally set your watch to them.,
Beat the heat.,
Lather on sunblock.,
Realize the threat of hurricanes.,
Most importantly, don't worry obsessively about the weather during your visit.",How to Prepare for the Weather in Florida," It's always a good idea to check the local forecast whether on TV, on the Internet or in the Weather section of the newspaper. If it calls for rain in the afternoon, get an early start. If it'll be wet in the morning, plan to spend the afternoon outside instead. Websites like Weather.com have helpful hour-by-hour forecasts and live radar maps of almost every city in the state.;
, Temperatures in Florida will obviously vary by season, but you can't rule out the possibility of a surprisingly mild day or cool night, so it wouldn't hurt to pack a sweater or even a pair or two of long pants and shoes that don't expose your feet.

, These storms happen almost every day (usually during the late spring and throughout the summer) and produce torrential rain, sometimes gusty winds, and spectacular lightning shows. For this reason, it's no wonder Florida has been dubbed as the Lightning Capital of the United States.

, The climate in Florida is warm year-round, but during the summer it will be especially hot and humid. Remember to drink plenty of water and rest in the shade frequently so you don't get weak or ill from the sometimes overwhelming humidity.

, The sun in Florida is especially powerful and will burn unprotected skin within a matter of minutes, especially during the summer and when the sun is directly overhead and at its strongest. Young children and elderly people will burn even more quickly than average adults, so it's wise to apply a strong sunblock (SPF 50 and over is a good idea) when you first set out and to keep reapplying several times throughout the day.

, They will usually affect areas along the coast of South Florida (like Miami, Fort Lauderdale, Key West, Naples, etc.), but by the time a hurricane is imminent most vacationers have already left to avoid getting caught in the middle of it all.

, While you should always be cautious, Florida is a beautiful state and there is a lot to do, from spending a day at the beach to exploring the theme parks of Walt Disney World. Just focus primarily on having a good time, and when the wet weather does happen, it will typically be brief and remain dry throughout the rest of the day.

"
