headline,title,text
"
Peel the skin off the avocado using a sharp knife or potato peeler.,
Peel the banana.

,
Put the avocado and banana in the blender with a few ice cubes.

,
Add to the blender ¼ teaspoon of lime juice.

,
Add to the blender between ½ to a full teaspoon of honey for some sweetness and flavor.

,
Ensure the lid is securely on the top of the blender then blend the mixture until it is thick and smooth and a consistency that you can use a straw to drink it.

,
Pour the mixture into a tall glass and serve.

,
Consume the smoothie within 12 hours and keep any leftover in the fridge for no longer that 24 hours.

",How to Make an Avocado Lime Juice Smoothie,";
,,,,,,,"
"
Pour milk into a jar.,
Put on the lid and shake.,
Microwave for 30 seconds.,
Add the milk foam to your espresso.",How to Make Froth for Espresso Without an Espresso Machine1," Pour your desired amount of milk into a glass jar that has a tight-fitting lid. Use 2% or nonfat milk for the best foam.Use any size glass jar, but make sure your milk fills no more than half of it, as it will take up more space when frothed.;
, Screw on the jar lid tightly and shake the jar as hard as you can for 30 to 60 seconds. It should look frothy and approximately doubled in volume.

, Take off the lid and put the jar into the microwave for 30 seconds to set the foam and make it warm for adding to your espresso.

, Use a spoon to hold back the foam at first, allowing the portion of the milk that is still liquid to pour into your espresso. Then spoon the thicker milk foam on top of your espresso and milk.For a cappuccino, you want about the same amount of warm milk as milk foam added to the espresso, and for a latte, you want twice the amount of warm milk as milk foam. To achieve this, you may need to warm up more milk in the microwave to get the right amount."
"
Heat 2% or nonfat milk.,
Pour heated milk into a coffee press.,
Pump the milk in the press.,
Add the milk foam to your espresso.",How to Make Froth for Espresso Without an Espresso Machine2," Pour your desired amount of milk into a microwave-safe glass or mug and heat in the microwave for 45 seconds.

, Use a coffee press, also called a French press, that has a glass container and a plunger. Pour the milk you heated into the glass container.

, Use the plunger of the coffee press to press up and down through the milk in the container repeatedly until it looks frothy and approximately double its original volume.

, Pour the milk foam into your espresso, using a spoon to hold back the thicker foam to allow the liquid milk to pour out first. Then spoon the foam on top of your milk and espresso.For a cappuccino, use about the same amount of warm liquid milk as milk foam to add to your espresso. For a latte, use about twice the amount of liquid milk as milk foam. To achieve this, you may need to warm up more milk in the microwave to get the right amount."
"
Pour milk into a glass or mug.,
Use a handheld milk frother.,
Froth the milk.,
Heat the milk foam.,
Combine milk foam and espresso.,
Finished.

",How to Make Froth for Espresso Without an Espresso Machine3," Whichever glass or mug you use, don’t fill it more than half full with milk, and make sure the glass or mug is microwave-safe. Use 2% or nonfat milk for best results.

, Locate a small electric or battery-powered milk frother that you can hold inside your glass of milk. Place your milk frother into the milk so that the whisk end is submerged in the milk before turning it on.

, Switch the milk frother on and gently move it up and down in the milk for about 30 seconds until the milk appears frothy and approximately double the volume.

, Put your glass or mug with the frothed milk into the microwave and heat for 30 to 45 seconds.

, Add your espresso straight to your mug of frothed milk foam, or pour the milk foam over another cup with espresso, using a spoon to hold back the foam and let the liquid milk pour it, then spooning the foam on top.For a cappuccino, use about the same amount of warm liquid milk as milk foam to add to your espresso. For a latte, use about twice the amount of liquid milk as milk foam. To achieve this, you may need to warm up more milk in the microwave to get the right amount.,"
"
Get to know your espresso machine.,
Grind the espresso for your shot.,
Make a shot of espresso.",How to Make Espresso Drinks1," Before you begin, look at the manual for your machine and get a sense of where everything is. Not all espresso machines are alike, but they will all have the same basic parts:


The portafilter, where espresso grounds are placed for brewing.
A hot water knob or button, which turns on the hot water and sends it through the portafilter to make a shot.
An espresso or steam switch that designates whether water should go through the portafilter or the steam wand. On Italian machines, this may be marked with the words ""caffe"" and ""vapore"".
The steam wand, which is used to steam milk.
The steam knob, which controls the amount of steam released from the steam wand.
A grinder, which produces the ultra fine grounds that give espresso its uniquely strong flavor. Most experts agree that owning an espresso grinder is a necessity for home baristas, so if your machine doesn't come with a grinder you should consider buying one.;
, The consistency of the grounds can make or break a great espresso shot.


Purchase espresso beans at your grocery store or local caffe. Espresso beans are characterized by their dark roast.
To make grounds for one shot, measure about 7 gramsof espresso beans using a kitchen scale
Pour the beans into your espresso grinder and grind until they are consistently fine.

Test the grounds by pinching some between your thumb and forefinger. They should feel slightly granular, just short of a powder. .
Adjust your grinder as necessary until it produces grounds at this consistency.



, The perfect espresso shot depends on pressure and timing.


Fill the reservoir of your machine with water.
Turn the machine on. It may take some time for the water to heat
Pack the portafilter full of espresso grounds, then lightly tamp them down so the surface is flat.Try to pack the beans densely so there will be significant water pressure when brewing. This will result in a stronger shot.
Be careful not to pack beans so densely that water cannot get through, because this can cause back-up and overflow. Learning the best density for your machine will take some practice.


Place the portafilter in the machine, and put a standard espresso cup under the portafilter spout.
Set the water to ""espresso"" or ""caffe"" and turn it on to brew your espresso shot.
A single shot should create one to two ounces.
A good espresso shot will have ""crema"" on top, a light brown foam that looks similar to the head on a beer. The more crema, the higher the quality of your shot.

"
"
Pour brewed espresso into your cappuccino cup.,
Fill a steam pitcher with cold milk.,
Steam the milk until it's hot.,
Use your steamed milk quickly.The longer steamed milk is left out, the less palatable it will be in a cappuccino.,
Pour the hot milk into the cappuccino cup.A cappuccino should be served in a coffee cup, and you'll ultimately need to combine the milk with the espresso.,
Tell the difference between a good and bad foam.Getting a perfect foam ultimately depends on your skill.,
Use a steam wand with a chilled metal pitcher.A steam wand will heat up your milk in a way doesn't affect the taste of the milk.,
Try a milk frother.,
Shake up your milk for an easy froth.,
Draw art on your cappuccino.,
Add cinnamon and chocolate flakes to your foam.,
Use proper cappuccino cups.,
Serve with small cookies.",How to Make Cappuccino Foam," Although specifics will depend on the type of cappuccino and the person making it, cappuccinos are roughly one quarter espresso and three quarters steamed milk.Pour your desired amount of brewed espresso into a large cappuccino cup before you steam the milk. That way, you'll have everything ready so you can pour out the steamed milk while it's still piping hot.
, Steam pitchers are specifically designed to heat liquid through steaming. Most traditional cappuccinos are served as 6 ounce portions, although many North American outlets prefer a 12-ounce version. Use 3/4 cup to 1 1/2 cups of milk, depending on your preference.

Non-fat milk is best if you're looking to get the most foam.However, non-fat milk will lack the creamy taste of its fatty alternative. It's up to you whether you favor foam or flavor.
Alternatives to steaming with a steam pitcher include using a metal pitcher with a steam wand, using a frother or shaking up the milk in a jar. An authentic cappuccino will rely on steaming, however.

, Steaming milk gives cappuccinos their heat and bubbly quality. You should aim to keep your steamed milk between 140 and 160 degrees Fahrenheit. For the sake of drinkability, it's important not to steam milk past 170 degrees. Depending on the steamer and the amount and temperature of the milk you're steaming, steaming can take between 10-40 seconds in most cases.It's a really good idea to have a thermometer at hand to put in the milk. That way you can make sure it's the exact temperature you want without having to resort to guesswork.

If you don't have a thermometer, you can gauge the temperature increase by putting your hand up against the outside of the pitcher. Wait until the pitcher starts to get warm to the touch. When the outside of the pitcher gets uncomfortably hot, it should be an indicator that the milk has steamed long enough., Milk is very sensitive to heat, and should only be steamed right before it's injected into the cappuccino mug. If you're making a larger batch of cappuccinos at once, hold off from steaming a large quantity of milk at once. Milk that is heated and reheated gets stale and loses its potential for foam., The trick here is to pour the milk in slowly. Any quick movements will risk compromising the foam. Level out your pitcher slowly as you pour.

One way to save the most foam for your top is to take a spoon and use it to trap in the foam at the top of the pitcher. When the pitcher is almost empty, you can pour out the foam.
Even out the foam with a spoon if it's poured out unevenly.

, With that in mind, it may take a few times before you get the kind of foam you want. However, you'll need to be able to distinguish a failure from a success to do so. A proper cappuccino foam should be even and soft. A bad foam will look very foamy and might risk frothing off the sides.

There are two main reasons that could be the cause of a less-than-desired foam result. First, the steamed milk needs to be poured at the right depth. Secondly, the heat may of the steamed milk may have been too high to properly settle into soft bubbles.
Don't be discouraged if you get a bad foam the first time you try it. Perfect coffee beverages require a lot more skill that people give it credit for. Each time you try, you'll get a bit closer to figuring out the subtle movements involved in it.

, Dip your steam wand into the milk until its approximately a centimeter away from the bottom of your pitcher. As heat tends to rise, steaming it from the bottom up will ensure that your milk heats evenly., Unlike a steamer, where the bubbles are a welcome side effect, a frother is specifically designed to give milk bubbles. They're relatively inexpensive and can be purchased online if need be.Put your frother tip about a centimeter below the surface and hold it under for approximately 20 seconds while it froths. Move the frother slowly around the cup to make sure the bubbles are even.

If you use a frother, you won't need to use a steamer to heat the milk. In that case, milk can be heated on stovetop or in the microwave.

, If you're making a cappuccino, it's assumed that you're wanting to go for quality over convenience. All the same, you can get a functional froth by shaking milk up before heating it.Put a cup of cold milk into a sealed jar or container. Shake it vigorously for up to a minute. Immediately after, throw it in the microwave and heat for 30 seconds. The heat is necessary for a proper cappuccino, but heating the milk will also stabilize the microbubbles you'll have formed from the shaking.

This is a good quick fix, and recommended if you're not particular about your cappuccinos. Keep in mind, however that your foam won't look nearly as good as if you steam it.

, Drawing a design atop your cappuccino can be done through purposeful movement as you pour the milk into your espresso cup. It is very tricky to do and can take months for some baristas to get the proper hang of it. However, leaving a simple heart or swirl pattern on the top of your cappuccino foam can make it look all the more professional and classy when it's served. There are lots of possible designs for all different skill levels.For a heart shape, begin pouring in the centre and let shift the pour from side to side.If your steamed milk is really foamy, latte art will be virtually impossible., Cappuccinos are valued for their presentation almost as much as their taste. Cinnamon and chocolate flakes will help to add to both. Once you have your foam settled, sprinkle these on as an afterthought. Even if you're making it from home, this technique can make your cappuccino look like a professional delicacy., Cappuccino cups should be small, plain, elegant and handled. Depending on the size of your cappuccino, the cups you choose should hold up to 12 ounces. Cappuccinos take more effort to make than regular coffee, so you shouldn't use any old cup for it. Even if you think aesthetics don't matter, you may nonetheless find you enjoy the drink more if you put due respect into the way it's served.

Make sure the cup size matches the amount of cappuccino you're serving. Cafe culture tends to value smaller sizes in order to emphasize taste over gorging. Even if you only have a certain amount of cappuccino to drink, putting it in a cup that's too big will rob it of some of its visual appeal.

, Cookies, biscotti, brownies, muffins or other pastry snacks are a longtime friend of cappuccinos and other coffee drinks. Put a couple of cookies on a plate next to your cappuccino. In doing so, you'll elevate it from a drink to a multi-part cafe experience. Enjoy!"
"
Make an espresso shot.

,
Pour 6 to 12 ounces of cold milk in a pitcher, depending on the desired size of the latte.,
Hold the pitcher of milk up so that the steam wand is completely immersed.

,
Use the steam knob to turn on the steam wand and slowly increase the amount of steam.

,
Gradually heat the milk, moving the pitcher up and down slowly.,
Turn the steam knob to off.

,
Pour the steamed milk into the serving cup, using a large spoon to hold back the froth so you can save it for the top.

,
Pour the espresso shot into the steamed milk.",How to Make Espresso Drinks2,", Keep in mind that the volume of the milk will increase with steaming.

,,, The milk should froth up without ever boiling.

,,, With a lot of practice, you can also create latte art.

"
"
Gather your supplies.,
Put the ice in the tall glass.,
Prepare a shot of espresso.,
Pour the espresso over the ice.,
Add milk and stir.,
Add sugar or flavored syrup to taste.",How to Make an Iced Latte1," Perhaps one of the easiest ways to make an iced latte is to use an espresso machine. You will pull a shot of espresso from your espresso machine and pour it over a full cup of ice. You can then add milk and sugar to the cold coffee to customize the iced latte to your tastes. You will need:Access to an espresso machine or a Nespresso machine.
Ground espresso beans or an espresso bean capsule for a Nespresso machine.
Milk or cream.
A tall glass.
Ice.
A spoon.
Sugar and/or flavored syrup.;
, Fill the tall glass all the way to the top of small ice cubes or crushed ice. The high amount of ice cubes will help to melt the hot espresso and keep your drink cool., Use the espresso machine to make a shot of your favorite espresso. Do this by packing the espresso head with ground espresso beans and inserting it into the machine. Select the one shot option for regular tasting espresso or the two shot option for very strong espresso.If you are using a Nespresso machine, simply insert the espresso bean capsule into the Nespresso machine and press the brew button on the machine.

, You should now have a shot of espresso in a small cup. Pour the espresso over the glass of ice.Alternatively, you can place the glass of ice in place of the small cup on the machine. This will allow the espresso shot to release right into the glass of ice, reducing the steps you need to do to create your iced latte.

, Once the espresso is in the glass of ice, add milk to the top of the glass and use a spoon to combine the espresso and the milk together., You can add sugar or a flavored syrup like vanilla syrup or chai syrup to give your iced latte an extra kick. Make sure you stir well after you add sugar or flavored syrup to the drink."
"
Make an espresso shot and pour it into a standard espresso cup.

,
Pour 6 to 8 ounces of cold milk in a pitcher, depending on the desired size of the cappuccino.,
Hold the pitcher of milk up so that the steam wand is completely immersed.

,
Use the steam knob to turn on the steam wand and slowly increase the amount of steam.

,
Gradually heat the milk, moving the pitcher up and down slowly.,
Turn the steam knob to off.

,
Pour about enough steamed milk into the cup to fill it halfway, using a large spoon to hold back the froth.

,
Use a spoon to scoop froth out of the pitcher, filling the rest of your cappuccino cup.

,
A wet cappuccino has some milk and some froth, while a dry cappuccino is almost all froth.

",How to Make Espresso Drinks3,", Keep in mind that the volume of the milk will increase with steaming.

,,, The milk should froth up without ever boiling.

,,,,"
"
Make an espresso shot.

,
Pour 6 to 12 ounces of cold milk in a pitcher, depending on the desired size of the latte.,
Hold the pitcher of milk up so that the steam wand is completely immersed.

,
Use the steam knob to turn on the steam wand and slowly increase the amount of steam.

,
Gradually heat the milk, moving the pitcher up and down slowly.,
Turn the steam knob to off.

,
Mix one scoop or more of ground chocolate into the steamed milk.

,
Pour the chocolate steamed milk into the serving cup, then add the espresso shot.

,
Top with whipped cream.

",How to Make Espresso Drinks4,", Keep in mind that the volume of the milk will increase with steaming.

,,, The milk should froth up without ever boiling.

,,,,"
